InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536373,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,12/1/2010 9:02,1.06,17850.0,United Kingdom
536373,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,12/1/2010 9:02,4.95,17850.0,United Kingdom
536373,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,12/1/2010 9:02,6.95,17850.0,United Kingdom
536373,82482,WOODEN PICTURE FRAME WHITE FINISH,6,12/1/2010 9:02,2.1,17850.0,United Kingdom
536373,82494L,WOODEN FRAME ANTIQUE WHITE ,6,12/1/2010 9:02,2.55,17850.0,United Kingdom
536373,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/1/2010 9:02,3.39,17850.0,United Kingdom
536373,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/1/2010 9:02,3.39,17850.0,United Kingdom
536373,22752,SET 7 BABUSHKA NESTING BOXES,2,12/1/2010 9:02,7.65,17850.0,United Kingdom
536373,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/1/2010 9:02,4.25,17850.0,United Kingdom
536374,21258,VICTORIAN SEWING BOX LARGE,32,12/1/2010 9:09,10.95,15100.0,United Kingdom
536375,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 9:32,2.55,17850.0,United Kingdom
536375,71053,WHITE METAL LANTERN,6,12/1/2010 9:32,3.39,17850.0,United Kingdom
536375,84406B,CREAM CUPID HEARTS COAT HANGER,8,12/1/2010 9:32,2.75,17850.0,United Kingdom
536375,20679,EDWARDIAN PARASOL RED,6,12/1/2010 9:32,4.95,17850.0,United Kingdom
536375,37370,RETRO COFFEE MUGS ASSORTED,6,12/1/2010 9:32,1.06,17850.0,United Kingdom
536375,21871,SAVE THE PLANET MUG,6,12/1/2010 9:32,1.06,17850.0,United Kingdom
536375,21071,VINTAGE BILLBOARD DRINK ME MUG,6,12/1/2010 9:32,1.06,17850.0,United Kingdom
536375,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,12/1/2010 9:32,1.06,17850.0,United Kingdom
536375,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,12/1/2010 9:32,4.95,17850.0,United Kingdom
536375,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,12/1/2010 9:32,6.95,17850.0,United Kingdom
536375,82482,WOODEN PICTURE FRAME WHITE FINISH,6,12/1/2010 9:32,2.1,17850.0,United Kingdom
536375,82494L,WOODEN FRAME ANTIQUE WHITE ,6,12/1/2010 9:32,2.55,17850.0,United Kingdom
536375,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/1/2010 9:32,3.39,17850.0,United Kingdom
536375,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/1/2010 9:32,3.39,17850.0,United Kingdom
536375,22752,SET 7 BABUSHKA NESTING BOXES,2,12/1/2010 9:32,7.65,17850.0,United Kingdom
536375,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/1/2010 9:32,4.25,17850.0,United Kingdom
536376,22114,HOT WATER BOTTLE TEA AND SYMPATHY,48,12/1/2010 9:32,3.45,15291.0,United Kingdom
536376,21733,RED HANGING HEART T-LIGHT HOLDER,64,12/1/2010 9:32,2.55,15291.0,United Kingdom
536377,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 9:34,1.85,17850.0,United Kingdom
536377,22633,HAND WARMER UNION JACK,6,12/1/2010 9:34,1.85,17850.0,United Kingdom
536378,22386,JUMBO BAG PINK POLKADOT,10,12/1/2010 9:37,1.95,14688.0,United Kingdom
536378,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,12/1/2010 9:37,1.95,14688.0,United Kingdom
536378,21033,JUMBO BAG CHARLIE AND LOLA TOYS,10,12/1/2010 9:37,2.95,14688.0,United Kingdom
536378,20723,STRAWBERRY CHARLOTTE BAG,10,12/1/2010 9:37,0.85,14688.0,United Kingdom
536378,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,12,12/1/2010 9:37,3.75,14688.0,United Kingdom
536378,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,6,12/1/2010 9:37,3.75,14688.0,United Kingdom
536378,21094,SET/6 RED SPOTTY PAPER PLATES,12,12/1/2010 9:37,0.85,14688.0,United Kingdom
536378,20725,LUNCH BAG RED RETROSPOT,10,12/1/2010 9:37,1.65,14688.0,United Kingdom
536378,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,12/1/2010 9:37,2.55,14688.0,United Kingdom
536378,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,12/1/2010 9:37,2.55,14688.0,United Kingdom
536378,21212,PACK OF 72 RETROSPOT CAKE CASES,120,12/1/2010 9:37,0.42,14688.0,United Kingdom
536378,21975,PACK OF 60 DINOSAUR CAKE CASES,24,12/1/2010 9:37,0.55,14688.0,United Kingdom
536378,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,12/1/2010 9:37,0.55,14688.0,United Kingdom
536378,84991,60 TEATIME FAIRY CAKE CASES,24,12/1/2010 9:37,0.55,14688.0,United Kingdom
